url,title,years,nb_seasons,nb_episodes,episode_length,synopsis,mark,marks_nb
https://www.imdb.com/title/tt1305826/?ref_=chttvtp_i_140,Adventure Time avec Finn et Jake,2010–2018,10,289,11min,Un jeune garçon et son chien magique partent ensemble pour de folles aventures.,"8,6",111 k
https://www.imdb.com/title/tt4299972/?ref_=chttvtp_i_141,The Jinx: The Life and Deaths of Robert Durst,2015–2024,2,12,4h 39min,"Plongez dans la vie tourmentée et trouble de Robert Durst, suspecté d'avoir commis 3 meurtres en l'espace de 20 ans.","8,6",51 k
https://www.imdb.com/title/tt0994314/?ref_=chttvtp_i_136,Code Geass: Lelouch of the Rebellion,2006–2008,2,54,24min,"Après avoir reçu un pouvoir mystérieux lui permettant de contrôler les autres, un prince rejeté devient le leader masqué de la rébellion contre un empire tout puissant.","8,7",79 k
https://www.imdb.com/title/tt10332508/?ref_=chttvtp_i_138,Primal,2019– ,3,21,22min,"Un homme des cavernes au début de l'évolution. Un dinosaure au bord de l'extinction. Liés par la tragédie, ils forgent une amitié étrange qui est leur seul espoir de survie dans un monde vio...","8,7",20 k
https://www.imdb.com/title/tt0348914/?ref_=chttvtp_i_133,Deadwood,2004–2006,3,36,55min,"L'intrigue tourne autour des personnages de Deadwood, une ville de corruption et de crime dans le Dakota du Sud à la fin des années 1800.","8,6",117 k
https://www.imdb.com/title/tt4786824/?ref_=chttvtp_i_132,The Crown,2016–2023,6,60,58min,Suit les rivalités politiques et l'histoire du règne de la reine Elizabeth II et les événements qui ont marqué la seconde moitié du XXème siècle.,"8,6",255 k
https://www.imdb.com/title/tt0106179/?ref_=chttvtp_i_134,X Files: aux frontières du réel,1993–2018,11,217,45min,"Deux agents du F.B.I., le croyant Fox Mulder et la sceptique Dana Scully, enquêtent sur les évènements étranges et inexpliqués, tandis que des forces cachées tentent d'entraver leurs efforts...","8,6",248 k
https://www.imdb.com/title/tt4834232/?ref_=chttvtp_i_137,Critical Role,2015– ,3,412,3h,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.","9,2",12 k
https://www.imdb.com/title/tt0773262/?ref_=chttvtp_i_135,Dexter,2006–2013,8,96,55min,"De jour, Dexter est analyste de traces de sang pour la police de Miami. De nuit, il est tueur en série de meurtriers.","8,7",761 k
https://www.imdb.com/title/tt1266020/?ref_=chttvtp_i_131,Parks and Recreation,2009–2015,7,124,22min,Les singeries absurdes des fonctionnaires de la ville d'Indiana alors qu'elles poursuivent divers projets pour améliorer la ville.,"8,6",286 k
https://www.imdb.com/title/tt0111958/?ref_=chttvtp_i_129,Father Ted,1995–1998,3,25,25min,"Trois prêtres inadaptés et leur gouvernante vivent sur Craggy Island, pas dans la partie paisible et tranquille de l'Irlande qu'elle semble être.","8,7",44 k
https://www.imdb.com/title/tt4288182/?ref_=chttvtp_i_130,Atlanta,2016–2022,4,41,30min,"Earn et son cousin Alfred tentent de se frayer un chemin à travers le monde du rap. Tout au long de leur parcours, ils sont confrontés à des problèmes sociaux et économiques touchant à la di...","8,6",87 k
https://www.imdb.com/title/tt0268093/?ref_=chttvtp_i_128,Ramayan,1987–1988,,78,30min,"An adaptation of the ancient epic in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","9,0",24 k
https://www.imdb.com/title/tt1856010/?ref_=chttvtp_i_125,House of Cards,2013–2018,6,73,,"Un membre du Congrès se venge des personnes qui l'ont trahi avec l'aide de sa femme, aussi malhonnête que lui.","8,6",529 k
https://www.imdb.com/title/tt5555260/?ref_=chttvtp_i_127,This Is Us,2016–2022,6,106,45min,"L'histoire touchante et émouvante de trois frères et soeurs, de leurs difficultés quotidiennes et de leurs merveilleux parents.","8,7",158 k
